,Date,Engagement,freqPost
201,7/20/2020,11948254,10173
202,7/21/2020,12077041,10186
203,7/22/2020,11413017,10326
204,7/23/2020,12920203,10623
205,7/24/2020,12660519,11188
206,7/25/2020,11476557,8996
207,7/26/2020,10155381,8177
208,7/27/2020,10578956,8291
209,7/28/2020,11222585,8482
210,7/29/2020,11689541,11111
211,7/30/2020,11415099,10742
212,7/31/2020,12218364,10755
213,8/1/2020,11210050,9355
214,8/2/2020,10111445,7939
215,8/3/2020,11984601,10071
216,8/4/2020,11585275,9604
217,8/5/2020,12326563,9941
218,8/6/2020,11274900,10246
219,8/7/2020,12402212,11463
220,8/8/2020,10971285,9652
221,8/9/2020,11166172,8234
222,8/10/2020,11553596,10643
223,8/11/2020,11778646,11035
224,8/12/2020,12989967,8897
225,8/13/2020,12820491,10424
226,8/14/2020,12244520,10442
227,8/15/2020,10737237,8733
228,8/16/2020,10510236,8166
229,8/17/2020,11209370,9412
230,8/18/2020,11401416,9650
231,8/19/2020,11113562,10068
232,8/20/2020,10932518,11050
233,8/21/2020,10933724,11036
234,8/22/2020,10702820,8571
235,8/23/2020,10103729,7976
236,8/24/2020,11336486,10098
237,8/25/2020,12039931,10394
238,8/26/2020,11650632,10740
239,8/27/2020,13117870,10614
240,8/28/2020,11052650,10744
241,8/29/2020,11601669,8889
242,8/30/2020,10828669,7934
243,8/31/2020,11601517,10458
244,9/1/2020,13094233,10633
245,9/2/2020,11307145,10761
246,9/3/2020,11463851,10917
247,9/4/2020,10364387,9329
248,9/5/2020,10328587,8213
249,9/6/2020,10765281,8121
250,9/7/2020,10631055,8557
251,9/8/2020,11886085,10745
252,9/9/2020,11596840,10959
253,9/10/2020,11780721,10077
254,9/11/2020,12190466,10376
255,9/12/2020,12142904,8672
256,9/13/2020,9858439,7847
257,9/14/2020,11021708,9900
258,9/15/2020,10100633,9859
259,9/16/2020,11340111,10923
260,9/17/2020,11780800,10612
261,9/18/2020,10968505,11130
262,9/19/2020,12084519,8684
263,9/20/2020,10455038,7705
264,9/21/2020,10422369,10121
265,9/22/2020,11338476,9872
266,9/23/2020,9843410,11123
267,9/24/2020,11041906,11171
268,9/25/2020,9510557,11211
269,9/26/2020,10988340,9658
270,9/27/2020,9369564,8641
271,9/28/2020,9633743,10166
272,9/29/2020,10371502,10276
273,10/1/2020,10950367,11864
274,10/2/2020,10905848,10152
275,10/3/2020,10306400,8719
276,10/4/2020,10248000,7591
277,10/5/2020,11471161,9766
278,10/6/2020,11667214,9762
279,10/7/2020,10701251,10434
280,10/8/2020,12122131,10994
281,10/9/2020,10814795,10794
282,10/10/2020,10967665,9411
283,10/11/2020,11124253,7914
284,10/12/2020,12378468,9704
285,10/13/2020,12024826,9125
286,10/14/2020,13608193,10684
287,10/15/2020,13850256,10389
288,10/16/2020,18275497,11188
289,10/17/2020,14315694,7437
290,10/18/2020,12075610,6942
291,10/19/2020,13978987,10653
292,10/20/2020,14356556,10309
293,10/21/2020,13431224,10528
294,10/22/2020,12252522,11677
295,10/23/2020,12642791,9714
296,10/24/2020,13245156,8837
297,10/25/2020,10883041,8341
298,10/26/2020,12322844,9639
299,10/27/2020,14710570,10668
300,10/28/2020,14681244,11056
301,10/29/2020,12922862,11501
302,10/30/2020,14112636,12623
303,10/31/2020,12428025,9690
304,11/1/2020,12353015,8929
305,11/2/2020,13015391,10556
306,11/3/2020,12908655,10366
307,11/4/2020,13805949,10393
308,11/5/2020,12524875,12631
309,11/6/2020,12034635,11774
310,11/7/2020,13505271,9443
311,11/8/2020,12361579,8909
312,11/9/2020,13807032,10590
313,11/10/2020,12460928,12378
314,11/11/2020,14475569,12197
315,11/12/2020,13505590,11317
316,11/13/2020,12976158,11138
317,11/14/2020,12643481,9740
318,11/15/2020,13187668,8331
319,11/16/2020,13310378,10407
320,11/17/2020,12084607,10773
321,11/18/2020,12683480,11248
322,11/19/2020,12424014,10842
323,11/20/2020,11254732,10884
324,11/21/2020,10744803,10120
325,11/22/2020,10506921,8126
326,11/23/2020,11458966,11118
327,11/24/2020,11827589,11773
328,11/25/2020,11838136,11697
329,11/26/2020,11532878,13183
330,11/27/2020,11182087,12930
331,11/28/2020,11023157,9609
332,11/29/2020,11605031,8015
333,11/30/2020,12066867,10722
334,12/1/2020,14335093,11946
335,12/2/2020,11907633,11821
336,12/3/2020,11858061,12333
337,12/4/2020,12716337,11714
338,12/5/2020,10984167,9520
339,12/6/2020,10331449,8850
340,12/7/2020,10995374,8742
341,12/8/2020,12752324,10579
342,12/9/2020,12278515,11498
343,12/10/2020,12165287,11372
344,12/11/2020,12043765,11424
345,12/12/2020,11987572,9801
346,12/13/2020,12919433,8274
347,12/14/2020,11752793,10122
348,12/15/2020,11419312,11051
349,12/16/2020,12272805,10875
350,12/17/2020,12267976,11271
351,12/18/2020,11908496,11857
352,12/19/2020,12713481,9697
353,12/20/2020,12729022,8173
354,12/21/2020,13522167,10488
355,12/22/2020,12296029,11051
356,12/23/2020,13978766,11068
357,12/24/2020,13525282,11142
358,12/25/2020,15377556,10885
359,12/26/2020,10959692,8466
360,12/27/2020,10654471,7323
361,12/28/2020,12123802,9301
362,12/29/2020,11203814,9805
363,12/30/2020,12024929,9157
