"","Date","Engagement","freqPost"
"165",2020-06-13,10247983,8481
"166",2020-06-14,10022503,7905
"167",2020-06-15,11942658,9284
"168",2020-06-16,11851335,9783
"169",2020-06-17,12590533,10304
"170",2020-06-18,11382998,9657
"171",2020-06-19,11609743,10138
"172",2020-06-20,10678305,8807
"173",2020-06-21,10890081,7599
"174",2020-06-22,12308749,9276
"175",2020-06-23,12368569,9580
"176",2020-06-24,13279525,9739
"177",2020-06-25,13119287,10163
"178",2020-06-26,14106827,10476
"179",2020-06-27,11720870,8917
"180",2020-06-28,11309210,7607
"181",2020-06-29,11498680,9887
"182",2020-07-01,12439123,10928
"183",2020-07-02,11655247,10605
"184",2020-07-03,10512333,11054
"185",2020-07-04,9819988,9088
"186",2020-07-05,9688010,7525
"187",2020-07-06,10249917,7756
"188",2020-07-07,11018879,9563
"189",2020-07-08,10485130,9980
"190",2020-07-09,10150549,10210
"191",2020-07-10,12211583,10306
"192",2020-07-11,9742542,8592
"193",2020-07-12,10257996,7888
"194",2020-07-13,15137496,9557
"195",2020-07-14,13698082,10125
"196",2020-07-15,13227678,10693
"197",2020-07-16,11296215,10501
"198",2020-07-17,11899002,10229
"199",2020-07-18,12586918,8891
"200",2020-07-19,10333435,7535
"201",2020-07-20,11948254,10173
"202",2020-07-21,12077041,10186
"203",2020-07-22,11413017,10326
"204",2020-07-23,12920203,10623
"205",2020-07-24,12660519,11188
"206",2020-07-25,11476557,8996
"207",2020-07-26,10155381,8177
"208",2020-07-27,10578956,8291
"209",2020-07-28,11222585,8482
"210",2020-07-29,11689541,11111
"211",2020-07-30,11415099,10742
"212",2020-07-31,12218364,10755
"213",2020-08-01,11210050,9355
"214",2020-08-02,10111445,7939
"215",2020-08-03,11984601,10071
"216",2020-08-04,11585275,9604
"217",2020-08-05,12326563,9941
"218",2020-08-06,11274900,10246
"219",2020-08-07,12402212,11463
"220",2020-08-08,10971285,9652
"221",2020-08-09,11166172,8234
"222",2020-08-10,11553596,10643
"223",2020-08-11,11778646,11035
"224",2020-08-12,12989967,8897
"225",2020-08-13,12820491,10424
"226",2020-08-14,12244520,10442
"227",2020-08-15,10737237,8733
"228",2020-08-16,10510236,8166
"229",2020-08-17,11209370,9412
"230",2020-08-18,11401416,9650
"231",2020-08-19,11113562,10068
"232",2020-08-20,10932518,11050
"233",2020-08-21,10933724,11036
"234",2020-08-22,10702820,8571
"235",2020-08-23,10103729,7976
"236",2020-08-24,11336486,10098
"237",2020-08-25,12039931,10394
"238",2020-08-26,11650632,10740
"239",2020-08-27,13117870,10614
"240",2020-08-28,11052650,10744
"241",2020-08-29,11601669,8889
"242",2020-08-30,10828669,7934
"243",2020-08-31,11601517,10458
"244",2020-09-01,13094233,10633
"245",2020-09-02,11307145,10761
"246",2020-09-03,11463851,10917
"247",2020-09-04,10364387,9329
"248",2020-09-05,10328587,8213
"249",2020-09-06,10765281,8121
"250",2020-09-07,10631055,8557
"251",2020-09-08,11886085,10745
"252",2020-09-09,11596840,10959
"253",2020-09-10,11780721,10077
"254",2020-09-11,12190466,10376
"255",2020-09-12,12142904,8672
"256",2020-09-13,9858439,7847
"257",2020-09-14,11021708,9900
"258",2020-09-15,10100633,9859
"259",2020-09-16,11340111,10923
"260",2020-09-17,11780800,10612
"261",2020-09-18,10968505,11130
"262",2020-09-19,12084519,8684
"263",2020-09-20,10455038,7705
"264",2020-09-21,10422369,10121
"265",2020-09-22,11338476,9872
"266",2020-09-23,9843410,11123
"267",2020-09-24,11041906,11171
"268",2020-09-25,9510557,11211
"269",2020-09-26,10988340,9658
"270",2020-09-27,9369564,8641
"271",2020-09-28,9633743,10166
"272",2020-09-29,10371502,10276
"273",2020-10-01,10950367,11864
"274",2020-10-02,10905848,10152
"275",2020-10-03,10306400,8719
"276",2020-10-04,10248000,7591
"277",2020-10-05,11471161,9766
"278",2020-10-06,11667214,9762
"279",2020-10-07,10701251,10434
"280",2020-10-08,12122131,10994
"281",2020-10-09,10814795,10794
"282",2020-10-10,10967665,9411
"283",2020-10-11,11124253,7914
"284",2020-10-12,12378468,9704
"285",2020-10-13,12024826,9125
"286",2020-10-14,13608193,10684
"287",2020-10-15,13850256,10389
"288",2020-10-16,18275497,11188
"289",2020-10-17,14315694,7437
"290",2020-10-18,12075610,6942
"291",2020-10-19,13978987,10653
"292",2020-10-20,14356556,10309
"293",2020-10-21,13431224,10528
"294",2020-10-22,12252522,11677
"295",2020-10-23,12642791,9714
"296",2020-10-24,13245156,8837
"297",2020-10-25,10883041,8341
"298",2020-10-26,12322844,9639
"299",2020-10-27,14710570,10668
"300",2020-10-28,14681244,11056
"301",2020-10-29,12922862,11501
"302",2020-10-30,14112636,12623
"303",2020-10-31,12428025,9690
"304",2020-11-01,12353015,8929
"305",2020-11-02,13015391,10556
"306",2020-11-03,12908655,10366
"307",2020-11-04,13805949,10393
"308",2020-11-05,12524875,12631
"309",2020-11-06,12034635,11774
"310",2020-11-07,13505271,9443
"311",2020-11-08,12361579,8909
"312",2020-11-09,13807032,10590
"313",2020-11-10,12460928,12378
"314",2020-11-11,14475569,12197
"315",2020-11-12,13505590,11317
"316",2020-11-13,12976158,11138
"317",2020-11-14,12643481,9740
"318",2020-11-15,13187668,8331
"319",2020-11-16,13310378,10407
"320",2020-11-17,12084607,10773
"321",2020-11-18,12683480,11248
"322",2020-11-19,12424014,10842
"323",2020-11-20,11254732,10884
"324",2020-11-21,10744803,10120
"325",2020-11-22,10506921,8126
"326",2020-11-23,11458966,11118
"327",2020-11-24,11827589,11773
"328",2020-11-25,11838136,11697
"329",2020-11-26,11532878,13183
"330",2020-11-27,11182087,12930
"331",2020-11-28,11023157,9609
"332",2020-11-29,11605031,8015
"333",2020-11-30,12066867,10722
"334",2020-12-01,14335093,11946
"335",2020-12-02,11907633,11821
"336",2020-12-03,11858061,12333
"337",2020-12-04,12716337,11714
"338",2020-12-05,10984167,9520
"339",2020-12-06,10331449,8850
"340",2020-12-07,10995374,8742
"341",2020-12-08,12752324,10579
"342",2020-12-09,12278515,11498
"343",2020-12-10,12165287,11372
"344",2020-12-11,12043765,11424
